Start-up,URL,Main Country,Main Market (2025),Language,Customers,Main Visibility keywords,Prompt Visibility #1,Prompt Visibility #2,Prompt Visibility #3,Prompt Visibility #4,Prompt Visibility #5,Prompt Sentiment #1,Prompt Sentiment #2,Prompt Sentiment #3
Agryco,https://www.agryco.com/,France,France & BeNeLux ag-inputs,🇫🇷 FR,B2C,achat matériel agricole,Quel est le meilleur site pour acheter du matériel agricole en France en 2025 ?,Achat matériel agricole en France en 2025 : quel site recommandez-vous ?,"En 2025, où acheter du matériel agricole en France ?",Meilleur choix pour acheter du matériel agricole en France en 2025 ?,Je cherche à acheter du matériel agricole en France en 2025 ; quelle est la meilleure plateforme pour le faire ?,What do you think about Agryco?,What are the main strengths and weaknesses of Agryco?,What do customers and reviews say about Agryco and its products or services?
Alan,https://alan.com/,France,France digital health,🇫🇷 FR,B2B,mutuelle santé,Quelle est la meilleure solution de mutuelle santé en France en 2025 ?,Choisir sa mutuelle santé en France en 2025 : qui recommandez-vous ?,"En 2025, quel mutuelle santé choisir en France ?",Quelle est la meilleur mutuelle santé en France en 2025 ?,Je cherche une solution de mutuelle santé en France en 2025 ; quelle est la meilleure option ?,What do you think about Alan?,What are the main strengths and weaknesses of Alan?,What do customers and reviews say about Alan and its products or services?
Alice & Bob,https://alice-bob.com/,France,Global deep-tech,🇬🇧 EN,B2B,universal quantum computer,What is the best universal quantum computer solution in 2025?,Choosing a universal quantum computer solution: who do you recommend in 2025?,Universal quantum computer options in 2025 — which is best?,Who leads the universal quantum computer market in 2025?,I need a universal quantum computer solution; what's the top choice in 2025?,What do you think about Alice & Bob?,What are the main strengths and weaknesses of Alice & Bob?,What do customers and reviews say about Alice & Bob and its products or services?
Back Market,https://www.backmarket.fr/,France,France refurbished tech,🇫🇷 FR,B2C,smartphone reconditionné,Quel est le meilleur site pour acheter un smartphone reconditionné en France en 2025 ?,Smartphone reconditionné en France en 2025 : quelle plateforme recommandez-vous ?,"En 2025, où acheter un smartphone reconditionné ?",Meilleur site pour acheter un smartphone reconditionné en France en 2025 ?,Je cherche à acheter un smartphone reconditionné en France en 2025 ; quelle est la meilleure option ?,What do you think about Back Market?,What are the main strengths and weaknesses of Back Market?,What do customers and reviews say about Back Market and its products or services?
BlaBlaCar,https://www.blablacar.fr/,France,France mobility,🇫🇷 FR,B2C,covoiturage,Quelle est la meilleure solution de covoiturage en France en 2025 ?,Choisir sa solution de covoiturage en France en 2025 : qui recommandez-vous ?,"En 2025, quel covoiturage choisir en France ?",Quel acteur de confiance pour trouver son covoiturage en France en 2025 ?,Je cherche une solution de covoiturage en France en 2025 ; quelle est la meilleure option ?,What do you think about BlaBlaCar?,What are the main strengths and weaknesses of BlaBlaCar?,What do customers and reviews say about BlaBlaCar and its products or services?
Brevo,https://www.brevo.com/fr/,France,US & EU SMB SaaS,🇬🇧 EN,B2B,email marketing software,What is the best email marketing software solution in 2025?,Choosing a email marketing software solution: who do you recommend?,Email marketing software options in 2025 — which is best?,Who leads the email marketing software market?,I need a email marketing software solution ; what's the top choice?,What do you think about Brevo?,What are the main strengths and weaknesses of Brevo?,What do customers and reviews say about Brevo and its products or services?
ChapsVision,https://www.chapsvision.fr/,France,France gov/defense data,🇫🇷 FR,B2B,logiciel cyber-intelligence / analyse de données souveraine,Quelle plateforme souveraine d’intelligence des données choisir en 2025 ?,Meilleure solution de cyber-intelligence intégrée pour mon organisation en France en 2025 ?,Comparatif logiciels d’analyse big-data sécurisée en France en 2025 ?,Logiciel d’analyse de données sensibles pour entreprise : quelles options en France en 2025 ?,Solution complète de data-intelligence et cybersécurité : quel éditeur recommandé en France en 2025?,What do you think about ChapsVision?,What are the main strengths and weaknesses of ChapsVision?,What do customers and reviews say about ChapsVision and its products or services?
ClubFunding,https://www.clubfunding.eu/,France,France real-estate crowd-funding,🇫🇷 FR,B2C,investissement immobilier et privé,Quelle est la meilleure plateforme d'investissement immobilier et privé en France en 2025 ?,Choisir une plateforme d'investissements immobilier et privés en France en 2025 : qui recommandez-vous ?,"En 2025, quelle plateforme d'investissement immobilier et privé choisir en France ?",Quelle est la meilleure plateforme d'investissement immobilier et privé en France en 2025 ?,Je cherche une plateforme pour investissement immobilier et privé ; quelle est la meilleure option ?,What do you think about ClubFunding?,What are the main strengths and weaknesses of ClubFunding?,What do customers and reviews say about ClubFunding and its products or services?
Contentsquare,https://contentsquare.com/,United States,US & EU enterprise DX,🇬🇧 EN,B2B,digital experience intelligence,What is the best digital experience intelligence software in 2025?,Choosing a digital experience intelligence solution: who do you recommend?,Digital experience intelligence software options  — which is the best?,Who leads the digital experience intelligence market in 2025?,I need a digital experience intelligence software solution ; what's the top choice?,What do you think about Contentsquare?,What are the main strengths and weaknesses of Contentsquare?,What do customers and reviews say about Contentsquare and its products or services?
Descartes Underwriting,https://descartesunderwriting.com/,France,Global parametric insurtech,🇬🇧 EN,B2B,parametric insurance,What is the best parametric insurance solution in 2025?,Choosing the best parametric insurance solution : who do you recommend?,Parametric insurance options in 2025 — which is best?,Who leads the parametric insurance market?,I need a parametric insurance solution ; what's the top choice?,What do you think about Descartes Underwriting?,What are the main strengths and weaknesses of Descartes Underwriting?,What do customers and reviews say about Descartes Underwriting and its products or services?
